,nome,ano,ano_lista,nViews,ranking
10,Katy Perry,2014,2014_Billboard,,1
9,Beyonce,2014,2014_Billboard,,2
8,Taylor Swift,2014,2014_Billboard,,3
7,Iggy Azalea,2014,2014_Billboard,,4
6,Ariana Grande,2014,2014_Billboard,,5
5,Miley Cyrus,2014,2014_Billboard,,6
4,Lord,2014,2014_Billboard,,7
3,Nicki Minaj,2014,2014_Billboard,,8
2,Lady Gaga,2014,2014_Billboard,,9
1,Meghan Trainor,2014,2014_Billboard,,10
10,Taylor Swift,2015,2015_Billboard,,1
9,Meghan Trainor,2015,2015_Billboard,,2
8,Nicki Minaj,2015,2015_Billboard,,3
7,Ariana Grande,2015,2015_Billboard,,4
6,Selena Gomez,2015,2015_Billboard,,5
5,Ellie Goulding,2015,2015_Billboard,,6
4,Katy Perry,2015,2015_Billboard,,7
3,Beyonce,2015,2015_Billboard,,8
2,Rihanna,2015,2015_Billboard,,9
1,Tove Lo,2015,2015_Billboard,,10
10,Adele,2016,2016_Billboard,,1
9,Beyonce,2016,2016_Billboard,,2
8,Rihanna,2016,2016_Billboard,,3
7,Ariana Grande,2016,2016_Billboard,,4
6,Selena Gomez,2016,2016_Billboard,,5
5,Meghan Trainor,2016,2016_Billboard,,6
4,Taylor Swift,2016,2016_Billboard,,7
3,Sia ,2016,2016_Billboard,,8
2,Carrie Underwood,2016,2016_Billboard,,9
1,Alessia Cara,2016,2016_Billboard,,10
10,Taylor Swift,2014,2014_YouTube,4103732003,1
9,Katty Perry,2014,2014_YouTube,2674070984,2
8,Ariana Grande,2014,2014_YouTube,2632537504,3
7,Meghan Trainor,2014,2014_YouTube,2425620695,4
6,Sia,2014,2014_YouTube,1629047800,5
5,Nicki Minaj,2014,2014_YouTube,1336670745,6
4,Iggy Azalea,2014,2014_YouTube,1301667251,7
3,Tove Lo,2014,2014_YouTube,843771816,8
2,Beyonce,2014,2014_YouTube,711188285,9
1,Selena Gomez,2014,2014_YouTube,501826036,10
10,Adele,2015,2015_YouTube,2242933571,1
9,Taylor Swift,2015,2015_YouTube,2063519369,2
8,Ellie Golding,2015,2015_YouTube,1704890737,3
7,Sia,2015,2015_YouTube,1463553453,4
6,Ariana Grande,2015,2015_YouTube,1161999059,5
5,Meghan Trainor,2015,2015_YouTube,902531642,6
4,Selena Gomez,2015,2015_YouTube,865713764,7
3,Rihanna,2015,2015_YouTube,630787932,8
2,Nicki Minaj,2015,2015_YouTube,340567424,9
1,Madonna,2015,2015_YouTube,304417116,10
10,Ariana Grande,2016,2016_YouTube,2179508933,1
9,Sia,2016,2016_YouTube,1642280890,2
8,Rihanna,2016,2016_YouTube,1319818650,3
7,Meghan Trainor,2016,2016_YouTube,791720358,4
6,Selena Gomez,2016,2016_YouTube,560844643,5
5,Jennifer Lopez,2016,2016_YouTube,465668856,6
4,Adele,2016,2016_YouTube,392681054,7
3,Beyonce,2016,2016_YouTube,372548810,8
2,Lady Gaga,2016,2016_YouTube,294312931,9
1,Pink,2016,2016_YouTube,193933009,10
10,Beyonce,2014,2014_.zForbes,,1
9,Taylor Swift,2014,2014_.zForbes,,2
8,Pink,2014,2014_.zForbes,,3
7,Rihanna,2014,2014_.zForbes,,4
6,Katy Perry,2014,2014_.zForbes,,5
5,Jennifer Lopez,2014,2014_.zForbes,,6
4,Miley Cyrus,2014,2014_.zForbes,,7
3,Celine Dion,2014,2014_.zForbes,,8
2,Lady Gaga,2014,2014_.zForbes,,9
1,Britney Spears,2014,2014_.zForbes,,10
10,Katy Perry,2015,2015_.zForbes,,1
9,Taylor Swift,2015,2015_.zForbes,,2
8,Fleetwood Mac,2015,2015_.zForbes,,3
7,Lady Gaga,2015,2015_.zForbes,,4
6,Beyonce,2015,2015_.zForbes,,5
5,Britney Spears,2015,2015_.zForbes,,6
4,Jennifer Lopez,2015,2015_.zForbes,,7
3,Miranda Lambert,2015,2015_.zForbes,,8
2,Mariah Carey,2015,2015_.zForbes,,9
1,Rihanna,2015,2015_.zForbes,,10
10,Taylor Swift,2016,2016_.zForbes,,1
9,Adele,2016,2016_.zForbes,,2
8,Madonna,2016,2016_.zForbes,,3
7,Rihanna,2016,2016_.zForbes,,4
6,Beyonce,2016,2016_.zForbes,,5
5,Katy Perry,2016,2016_.zForbes,,6
4,Jennifer Lopez,2016,2016_.zForbes,,7
3,Britney Spears,2016,2016_.zForbes,,8
2,Shania Twain,2016,2016_.zForbes,,9
1,Celine Dion,2016,2016_.zForbes,,10
